 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2014;Miles de Dolares FOB;139.214;612.407;2.788.686;53.737
1/02/2014;Miles de Dolares FOB;199.935;312.049;2.450.563;42.435
1/03/2014;Miles de Dolares FOB;149.163;268.100;2.613.951;40.140
1/04/2014;Miles de Dolares FOB;219.600;399.158;2.389.910;32.959
1/05/2014;Miles de Dolares FOB;208.391;977.542;2.791.267;63.963
1/06/2014;Miles de Dolares FOB;157.380;544.172;2.668.114;56.418
1/07/2014;Miles de Dolares FOB;225.461;661.701;2.629.108;67.025
1/08/2014;Miles de Dolares FOB;213.488;651.295;2.568.157;59.685
1/09/2014;Miles de Dolares FOB;212.560;783.939;2.613.617;73.247
1/10/2014;Miles de Dolares FOB;247.368;622.414;2.075.419;47.727
1/11/2014;Miles de Dolares FOB;261.195;392.491;1.836.360;46.878
1/12/2014;Miles de Dolares FOB;239.494;584.795;1.563.025;56.383
1/01/2014;Toneladas Metricas;47.702;7.276.755;4.441.995;12.833
1/02/2014;Toneladas Metricas;66.993;4.067.699;3.653.691;10.516
1/03/2014;Toneladas Metricas;45.028;3.331.867;3.967.145;9.858
1/04/2014;Toneladas Metricas;57.686;5.403.409;3.718.159;7.278
1/05/2014;Toneladas Metricas;49.020;12.456.190;4.419.105;12.491
1/06/2014;Toneladas Metricas;36.257;6.844.487;3.903.074;10.021
1/07/2014;Toneladas Metricas;52.079;8.884.841;4.104.137;12.260
1/08/2014;Toneladas Metricas;49.092;8.629.473;4.165.562;10.798
1/09/2014;Toneladas Metricas;48.409;10.472.245;4.442.970;13.661
1/10/2014;Toneladas Metricas;54.590;8.216.269;4.045.643;9.438
1/11/2014;Toneladas Metricas;57.446;5.111.706;3.942.640;10.486
1/12/2014;Toneladas Metricas;53.657;8.400.374;4.338.391;12.915
