date;unit_measure;coffee;coal;oil_oilbyproducts;ferronickel
1/01/2018;USDkFOB;247&&016;669.643;1.289.579;42839
1/02/2018;USDkFOB;182::036;536.334;1.057.380;NA   
1/03/2018;USDkFOB;195&&990;701.670;1.194.653;56603
1/04/2018;USDkFOB;197-_820;806.803;1.391.923;60412
1/05/2018;USDkFOB;184::363;568.363;1.469.748;70482
1/06/2018;USDkFOB;141.569;493.301;1.384.106;47888
1/07/2018;USDkFOB;158.313;722.155;1.427.403;60439
1/01/2018;MetricTons;74[]254;8.240.749;3.111.232;11847
1/02/2018;MetricTons;55.176;6.514.303;2.631.591;NA  
1/03/2018;MetricTons;60::532;8.501.830;2.958.676;15021
1/04/2018;MetricTons;61::389;9.579.831;3.258.040;14186
1/05/2018;MetricTons;57[]533;7.055.155;3.205.261;16077
1/06/2018;MetricTons;44&&127;5.970.972;3.019.655;10589
1/07/2018;MetricTons;49&&660;8.364.156;3.159.031;12966
